Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Transaction Connect
Admin & General,admin-and-general-e2b38,6616d545fc5c84280e914b14,662d01b529d4170da335fcc5,Sat Apr 27 2024 13:46:29 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:46:29 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Automobile,automobile-6fd4a,6616d545fc5c84280e914b14,662d01d95843c80e8190e994,Sat Apr 27 2024 13:47:05 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:05 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Automotive,automotive-5863a,6616d545fc5c84280e914b14,662d01da901690d908d50059,Sat Apr 27 2024 13:47:06 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:06 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Bank Service Charges,bank-service-charges-ebd73,6616d545fc5c84280e914b14,662d01dc3b55f781245199bd,Sat Apr 27 2024 13:47:08 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:08 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Banking Charges,banking-charges-f1a00,6616d545fc5c84280e914b14,662d01dc29d4170da336338a,Sat Apr 27 2024 13:47:08 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:08 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Banking Expense,banking-expense,6616d545fc5c84280e914b14,662d01dd8ffa3c819986a4d6,Sat Apr 27 2024 13:47:09 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:09 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Business Entertainment,business-entertainment,6616d545fc5c84280e914b14,662d01de9a4489f5fddbc4e6,Sat Apr 27 2024 13:47:10 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:10 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Business Entertainment',business-entertainment-dce21,6616d545fc5c84280e914b14,662d01de901690d908d503c3,Sat Apr 27 2024 13:47:10 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:10 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
CC payment,cc-payment-e9200,6616d545fc5c84280e914b14,662d01dff27718cd3f7fb9ee,Sat Apr 27 2024 13:47:11 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:11 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Cellphone,cellphone-bcbe7,6616d545fc5c84280e914b14,662d01e044c8282b578bd7b4,Sat Apr 27 2024 13:47:12 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:12 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Charitable Donation,charitable-donation-55626,6616d545fc5c84280e914b14,662d01e0bba37a185a3b9ca0,Sat Apr 27 2024 13:47:12 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:12 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Commission Due,commission-due-64e2c,6616d545fc5c84280e914b14,662d01e1f27718cd3f7fbc3f,Sat Apr 27 2024 13:47:13 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:13 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Debit,debit-96326,6616d545fc5c84280e914b14,662d01e2276a07c14dd5e715,Sat Apr 27 2024 13:47:14 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:14 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Direct Labor,direct-labor-c2315,6616d545fc5c84280e914b14,662d01e32be0922646e10593,Sat Apr 27 2024 13:47:15 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:15 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Direct Labor Costs,direct-labor-costs-8ffdb,6616d545fc5c84280e914b14,662d01e32be0922646e10604,Sat Apr 27 2024 13:47:15 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:15 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Direct Material Costs,direct-material-costs-0f688,6616d545fc5c84280e914b14,662d01e44876e0794efdf204,Sat Apr 27 2024 13:47:16 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:16 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Direct Materials,direct-materials,6616d545fc5c84280e914b14,662d01e5d0fdeeb149fcd943,Sat Apr 27 2024 13:47:17 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:17 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Dues & Subscriptions,dues-and-subscriptions,6616d545fc5c84280e914b14,662d01e588dc21cbff454d5b,Sat Apr 27 2024 13:47:17 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:17 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Empl  Meal - Ent,empl-meal-ent-f6764,6616d545fc5c84280e914b14,662d01e632a448e72c18a12f,Sat Apr 27 2024 13:47:18 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:18 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Equip Lease,equip-lease,6616d545fc5c84280e914b14,662d01e78ffa3c819986af4b,Sat Apr 27 2024 13:47:19 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:19 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Fed Taxes 941-944,fed-taxes-941-944,6616d545fc5c84280e914b14,662d01e8f27718cd3f7fc42c,Sat Apr 27 2024 13:47:20 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:20 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
From 1944,from-1944-72e55,6616d545fc5c84280e914b14,662d01e832a448e72c18a3cf,Sat Apr 27 2024 13:47:20 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:20 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
From 2664						,from-2664-38e04,6616d545fc5c84280e914b14,662d01e99a4489f5fddbcfef,Sat Apr 27 2024 13:47:21 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:21 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
From Deposit Holding,from-deposit-holding-3f39e,6616d545fc5c84280e914b14,662d01ea3b55f7812451a7f2,Sat Apr 27 2024 13:47:22 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:22 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Furniture & Machinery,furniture-and-machinery-fb37d,6616d545fc5c84280e914b14,662d01eb901690d908d50ed8,Sat Apr 27 2024 13:47:23 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:23 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Furniture						,furniture-d4c84,6616d545fc5c84280e914b14,662d01ea5ef4eed92d9e0171,Sat Apr 27 2024 13:47:22 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:22 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Garments,garments,6616d545fc5c84280e914b14,662d01ec3b55f7812451ad39,Sat Apr 27 2024 13:47:24 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:24 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Health Insurance Premiums,health-insurance-premiums-d6f35,6616d545fc5c84280e914b14,662d01ed9a4489f5fddbd64d,Sat Apr 27 2024 13:47:25 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:25 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Img Mach (Dir Cap),img-mach-dir-cap,6616d545fc5c84280e914b14,662d01ee77c6b495fd4021bf,Sat Apr 27 2024 13:47:26 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:26 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
JZ Draw Debit,jz-draw-debit-2e668,6616d545fc5c84280e914b14,662d01ef3b55f7812451af8d,Sat Apr 27 2024 13:47:27 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:27 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
LG Draw Debit,lg-draw-debit-a42af,6616d545fc5c84280e914b14,662d01ef26d8c7d456bbb1bd,Sat Apr 27 2024 13:47:27 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:27 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
LG Personal,lg-personal-4ae8f,6616d545fc5c84280e914b14,662d01f026d8c7d456bbb28f,Sat Apr 27 2024 13:47:28 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:28 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Licenses and Permits,licenses-and-permits-68ceb,6616d545fc5c84280e914b14,662d01f1c124e3b73f36b9c7,Sat Apr 27 2024 13:47:29 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:29 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Occupancy Costs,occupancy-costs-cea14,6616d545fc5c84280e914b14,662d01f288e725006bf300f6,Sat Apr 27 2024 13:47:30 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:30 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Office Supplies,office-supplies-42079,6616d545fc5c84280e914b14,662d01f33406b1bda7325b60,Sat Apr 27 2024 13:47:31 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:31 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Outside Services,outside-services,6616d545fc5c84280e914b14,662d01f477c6b495fd40285e,Sat Apr 27 2024 13:47:32 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:32 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Payment CC,payment-cc-cfaeb,6616d545fc5c84280e914b14,662d01f577abe1649fabf717,Sat Apr 27 2024 13:47:33 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:33 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Payroll,payroll-31bda,6616d545fc5c84280e914b14,662d01f51e15957f5eb4b130,Sat Apr 27 2024 13:47:33 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:33 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Payroll Expense,payroll-expense-8770d,6616d545fc5c84280e914b14,662d01f63b55f7812451bb6c,Sat Apr 27 2024 13:47:34 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:34 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Payroll Expenses,payroll-expenses-10c03,6616d545fc5c84280e914b14,662d01f79bc59138f07d138a,Sat Apr 27 2024 13:47:35 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:35 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Payroll Tax,payroll-tax-e7113,6616d545fc5c84280e914b14,662d01f8bba37a185a3bb449,Sat Apr 27 2024 13:47:36 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:36 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Recycling,recycling-49a25,6616d545fc5c84280e914b14,662d01f877c6b495fd402e36,Sat Apr 27 2024 13:47:36 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:36 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Redemption Credit,redemption-credit-f3dcc,6616d545fc5c84280e914b14,662d01f98ffa3c819986bfa7,Sat Apr 27 2024 13:47:37 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:37 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Rent Expense,rent-expense-455e2,6616d545fc5c84280e914b14,662d01fa2be0922646e11ff4,Sat Apr 27 2024 13:47:38 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:38 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Rent Income,rent-income-9607d,6616d545fc5c84280e914b14,662d01fa3406b1bda7326327,Sat Apr 27 2024 13:47:38 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:38 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Repairs & Maintenance,repairs-and-maintenance,6616d545fc5c84280e914b14,662d01fcbba37a185a3bb9fc,Sat Apr 27 2024 13:47:40 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:40 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Retail Sales Tax,retail-sales-tax-d0cfa,6616d545fc5c84280e914b14,662d01fc88e725006bf30b18,Sat Apr 27 2024 13:47:40 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:40 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Sales,sales-c0f23,6616d545fc5c84280e914b14,662d01fd4876e0794efe0cc6,Sat Apr 27 2024 13:47:41 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:41 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Security,security-61cee,6616d545fc5c84280e914b14,662d01fe9a4489f5fddbf077,Sat Apr 27 2024 13:47:42 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:42 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Shipping Expense,shipping-expense,6616d545fc5c84280e914b14,662d01fe4876e0794efe0dbe,Sat Apr 27 2024 13:47:42 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:42 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Telephone,telephone-77d17,6616d545fc5c84280e914b14,662d01ff9a4489f5fddbf2ea,Sat Apr 27 2024 13:47:43 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:43 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Tradeshows,tradeshows-eaa69,6616d545fc5c84280e914b14,662d0200276a07c14dd60491,Sat Apr 27 2024 13:47:44 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:44 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Transfer,transfer-a13ed,6616d545fc5c84280e914b14,662d0201b25690505466f070,Sat Apr 27 2024 13:47:45 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:45 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Travel,travel-af820,6616d545fc5c84280e914b14,662d02029bc59138f07d1c6d,Sat Apr 27 2024 13:47:46 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:46 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Utilities,utilities-69ffe,6616d545fc5c84280e914b14,662d020377c6b495fd403abb,Sat Apr 27 2024 13:47:47 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:47 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Wages,wages-26426,6616d545fc5c84280e914b14,662d02039a4489f5fddbf843,Sat Apr 27 2024 13:47:47 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:47 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
Workers Compensation Insurance,workers-compensation-insurance-53eab,6616d545fc5c84280e914b14,662d0204d0fdeeb149fcf7c7,Sat Apr 27 2024 13:47:48 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 13:47:48 GMT+0000 (Coordinated Universal Time),Tue Jun 11 2024 07:33:21 GMT+0000 (Coordinated Universal Time),
